conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
16 149993.15 2236.16 5490.78 0.55775 1.412578125 1.41ms 10.02ms
64 149958.13 2475.4 6910.26 0.76127 1.412265625 1.09ms 2.39ms
256 149810.29 3225.15 9981.91 2.15326 1.410859375 1.01ms 3.33ms
512 149599.38 3534.5 10550.6 3.22911 1.408828125 1.03ms 2.96ms
1024 148952.84 3774.29 11170.8 5.7352 1.402734375 1.03ms 2.64ms
1500 148116.07 3848.5 11699.1 7.79512 1.394921875 1.06ms 2.88ms
