conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
16 8001.00 527.847 2634.67 0.0162615 0.0753125 723.31us 1.35ms
64 7997.11 843.816 4208.32 0.0439833 0.0753125 0.92ms 1.92ms
256 7918.20 1407.29 6375.52 0.129353 0.07453125 0.90ms 1.95ms
512 7962.65 1413.03 7150.79 0.257732 0.075 0.94ms 1.98ms
1024 7775.15 1081.61 7563.64 0.335087 0.073203125 0.93ms 1.98ms
1500 7732.83 916.283 6998.46 0.381657 0.0728125 0.94ms 2.06ms
