10143.11 0.093671875 1.79079
31585.78 0.291796875 5.27168
48119.68 0.44453125 7.81584
61959.34 0.572421875 10.0115
93046.12 0.859609375 15.0963
145359.68 1.34296875 25.1704
217018.40 2.005 40.0921
510265.19 4.71421875 176.01
515018.54 4.758125 175.399
518831.33 4.793359375 177.63
527992.87 4.87796875 178.162
529670.69 4.8934375 180.565
538017.06 4.970546875 182.227
540022.18 4.9890625 180.588
543209.15 5.018515625 180.097
554602.44 5.123828125 184.319
556857.24 5.144609375 183.479
557475.63 5.1503125 184.302
558779.78 5.162421875 115.606
558878.16 5.16328125 116.488
569247.38 5.2590625 185.575
580356.19 5.36171875 119.696
585992.13 5.413828125 184.998
589406.04 5.4453125 123.912
589429.07 5.445546875 184.805
590133.66 5.45203125 131.973
593274.66 5.48109375 122.503
594350.29 5.491015625 137.427
595173.25 5.49859375 125.843
595497.39 5.501640625 178.824
599119.18 5.535078125 130.344
599612.15 5.539609375 147.144
600159.66 5.5446875 150.592
602150.62 5.563046875 139.162
602754.71 5.568671875 161.354
