conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
16 8000.80 3076.36 4682.1 0.0341545 0.0753125 782.98us 1.53ms
64 7996.53 3773.5 4891.15 0.108264 0.0753125 0.88ms 2.03ms
256 7820.23 3780.31 7264.24 0.286588 0.073671875 0.96ms 2.14ms
512 7712.06 3294.86 7682.34 0.420792 0.07265625 1.04ms 2.30ms
1024 7159.10 699.275 8885.71 0.977187 0.067421875 4.22ms 67.07ms
1500 7167.94 676.033 9117.71 1.02088 0.0675 6.01ms 125.06ms
