conn RPS llc_misses(thousands) llc_use(KB) mem(Gbit/s) net(Gbit/s) lat_avg lat_99
16 149996.38 2249.78 5454.61 0.310183 1.412578125 1.34ms 8.63ms
64 149956.46 2472.88 6639.65 0.694759 1.4121875 1.08ms 2.38ms
256 149808.75 3252.7 9537.04 2.07263 1.410859375 1.02ms 3.55ms
512 149611.15 3527.94 10255 2.79456 1.408984375 1.04ms 3.67ms
1024 149217.96 3768.68 11133.2 5.05169 1.405234375 1.03ms 3.26ms
1500 148624.94 3818.71 12395.8 6.83344 1.3996875 1.03ms 3.13ms
